State,FIPS,Latitude,Longitude
Alabama,1,32.31823,-86.902298
Alaska,2,66.160507,-153.369141
Arizona,4,34.048927,-111.093735
Arkansas,5,34.799999,-92.199997
California,6,36.778259,-119.417931
Colorado,8,39.113014,-105.358887
Connecticut,9,41.599998,-72.699997
Delaware,10,39,-75.5
District of Columbia,11,38.9072,77.0369
Florida,12,27.994402,-81.760254
Georgia,13,33.247875,-83.441162
Guam,66,13.4443,144.7937
Hawaii,15,19.741755,-155.844437
Idaho,16,44.068203,-114.742043
Illinois,17,40,-89
Indiana,18,40.273502,-86.126976
Iowa,19,42.032974,-93.581543
Kansas,20,38.5,-98
Kentucky,21,37.839333,-84.27002
Louisiana,22,30.39183,-92.329102
Maine,23,45.367584,-68.972168
Maryland,24,39.045753,-76.641273
Massachusetts,25,42.407211,-71.382439
Michigan,26,44.182205,-84.506836
Minnesota,27,46.39241,-94.63623
Mississippi,28,33,-90
Missouri,29,38.573936,-92.60376
Montana,30,46.96526,-109.533691
Nebraska,31,41.5,-100
Nevada,32,39.876019,-117.224121
New Hampshire,33,44,-71.5
New Jersey,34,39.833851,-74.871826
New Mexico,35,34.307144,-106.018066
New York,36,43,-75
North Carolina,37,35.782169,-80.793457
North Dakota,38,47.650589,-100.437012
Ohio,39,40.367474,-82.996216
Oklahoma,40,36.084621,-96.921387
Oregon,41,44,-120.5
Pennsylvania,42,41.203323,-77.194527
Puerto Rico,72,18.2208,66.5901
Rhode Island,44,41.700001,-71.5
South Carolina,45,33.836082,-81.163727
South Dakota,46,44.5,-100
Tennessee,47,35.860119,-86.660156
Texas,48,31,-100
Utah,49,39.41922,-111.950684
Vermont,50,44,-72.699997
Virginia,51,37.926868,-78.024902
Virgin Islands,78,18.3358,64.8963
Washington,53,47.751076,-120.740135
West Virginia,54,39,-80.5
Wisconsin,55,44.5,-89.5
Wyoming,56,43.07597,-107.290283
